"_time","src_location",conteo
"2025-05-02T02:00:00.000-0300",Germany,2
"2025-05-02T02:00:00.000-0300",Ireland,2
"2025-05-02T02:00:00.000-0300",Singapore,14
"2025-05-02T02:00:00.000-0300","United States",62
"2025-05-02T02:15:00.000-0300",Argentina,6
"2025-05-02T02:15:00.000-0300",Brazil,1
"2025-05-02T02:15:00.000-0300",Bulgaria,1
"2025-05-02T02:15:00.000-0300",Canada,16
"2025-05-02T02:15:00.000-0300",France,9
"2025-05-02T02:15:00.000-0300",Germany,4
"2025-05-02T02:15:00.000-0300","Hong Kong",2
"2025-05-02T02:15:00.000-0300",Singapore,21
"2025-05-02T02:15:00.000-0300",Switzerland,1
"2025-05-02T02:15:00.000-0300","United Kingdom",2
"2025-05-02T02:15:00.000-0300","United States",35
"2025-05-02T02:30:00.000-0300",Argentina,13
"2025-05-02T02:30:00.000-0300",Brazil,1
"2025-05-02T02:30:00.000-0300",France,1
"2025-05-02T02:30:00.000-0300",Germany,2
"2025-05-02T02:30:00.000-0300",Singapore,25
"2025-05-02T02:30:00.000-0300","United Kingdom",2
"2025-05-02T02:30:00.000-0300","United States",29
"2025-05-02T02:45:00.000-0300",Argentina,7
"2025-05-02T02:45:00.000-0300",Brazil,1
"2025-05-02T02:45:00.000-0300",Bulgaria,1
"2025-05-02T02:45:00.000-0300",Canada,3
"2025-05-02T02:45:00.000-0300",China,1
"2025-05-02T02:45:00.000-0300",Finland,1
"2025-05-02T02:45:00.000-0300",France,4
"2025-05-02T02:45:00.000-0300",Germany,5
"2025-05-02T02:45:00.000-0300","Hong Kong",1
"2025-05-02T02:45:00.000-0300",Poland,1
"2025-05-02T02:45:00.000-0300",Seychelles,1
"2025-05-02T02:45:00.000-0300",Singapore,14
"2025-05-02T02:45:00.000-0300","United Kingdom",1
"2025-05-02T02:45:00.000-0300","United States",37
"2025-05-02T03:00:00.000-0300",Argentina,6
"2025-05-02T03:00:00.000-0300",Brazil,1
"2025-05-02T03:00:00.000-0300",Canada,20
"2025-05-02T03:00:00.000-0300",France,1
"2025-05-02T03:00:00.000-0300",Germany,1
"2025-05-02T03:00:00.000-0300","Korea Republic Of",1
"2025-05-02T03:00:00.000-0300",Philippines,1
"2025-05-02T03:00:00.000-0300",Singapore,9
"2025-05-02T03:00:00.000-0300","United Kingdom",2
"2025-05-02T03:00:00.000-0300","United States",25
"2025-05-02T03:15:00.000-0300",Argentina,7
"2025-05-02T03:15:00.000-0300",Brazil,1
"2025-05-02T03:15:00.000-0300",France,2
"2025-05-02T03:15:00.000-0300",Germany,4
"2025-05-02T03:15:00.000-0300",Monaco,1
"2025-05-02T03:15:00.000-0300",Singapore,7
"2025-05-02T03:15:00.000-0300",Spain,1
"2025-05-02T03:15:00.000-0300","United Kingdom",2
"2025-05-02T03:15:00.000-0300","United States",30
"2025-05-02T03:30:00.000-0300",Argentina,6
"2025-05-02T03:30:00.000-0300",Brazil,1
"2025-05-02T03:30:00.000-0300",Bulgaria,1
"2025-05-02T03:30:00.000-0300",France,2
"2025-05-02T03:30:00.000-0300",Germany,4
"2025-05-02T03:30:00.000-0300","Hong Kong",2
"2025-05-02T03:30:00.000-0300","Korea Republic Of",1
"2025-05-02T03:30:00.000-0300",Singapore,16
"2025-05-02T03:30:00.000-0300","United Kingdom",1
"2025-05-02T03:30:00.000-0300","United States",33
"2025-05-02T03:45:00.000-0300",Argentina,4
"2025-05-02T03:45:00.000-0300",Brazil,1
"2025-05-02T03:45:00.000-0300",France,5
"2025-05-02T03:45:00.000-0300",Germany,10
"2025-05-02T03:45:00.000-0300","Korea Republic Of",1
"2025-05-02T03:45:00.000-0300","Russian Federation",5
"2025-05-02T03:45:00.000-0300",Singapore,11
"2025-05-02T03:45:00.000-0300",Spain,1
"2025-05-02T03:45:00.000-0300","United States",35
"2025-05-02T04:00:00.000-0300",Argentina,4
"2025-05-02T04:00:00.000-0300",Brazil,1
"2025-05-02T04:00:00.000-0300",Bulgaria,1
"2025-05-02T04:00:00.000-0300",France,1
"2025-05-02T04:00:00.000-0300",Germany,5
"2025-05-02T04:00:00.000-0300","Hong Kong",1
"2025-05-02T04:00:00.000-0300","Korea Republic Of",2
"2025-05-02T04:00:00.000-0300","Russian Federation",22
"2025-05-02T04:00:00.000-0300",Singapore,3
"2025-05-02T04:00:00.000-0300","United Kingdom",2
"2025-05-02T04:00:00.000-0300","United States",37
"2025-05-02T04:15:00.000-0300",Argentina,8
"2025-05-02T04:15:00.000-0300",Brazil,1
"2025-05-02T04:15:00.000-0300",Canada,18
"2025-05-02T04:15:00.000-0300",France,1
"2025-05-02T04:15:00.000-0300",Germany,8
"2025-05-02T04:15:00.000-0300","Korea Republic Of",1
"2025-05-02T04:15:00.000-0300",Philippines,1
"2025-05-02T04:15:00.000-0300",Singapore,10
"2025-05-02T04:15:00.000-0300","United Kingdom",3
"2025-05-02T04:15:00.000-0300","United States",43
"2025-05-02T04:30:00.000-0300",Argentina,9
"2025-05-02T04:30:00.000-0300",Austria,1
"2025-05-02T04:30:00.000-0300",Brazil,1
"2025-05-02T04:30:00.000-0300",Bulgaria,1
"2025-05-02T04:30:00.000-0300",Canada,1
"2025-05-02T04:30:00.000-0300",China,1
"2025-05-02T04:30:00.000-0300",France,5
"2025-05-02T04:30:00.000-0300",Germany,9
"2025-05-02T04:30:00.000-0300",Singapore,23
"2025-05-02T04:30:00.000-0300","United Kingdom",5
"2025-05-02T04:30:00.000-0300","United States",33
"2025-05-02T04:45:00.000-0300",Argentina,4
"2025-05-02T04:45:00.000-0300",Brazil,1
"2025-05-02T04:45:00.000-0300","European Union",3
"2025-05-02T04:45:00.000-0300",France,7
"2025-05-02T04:45:00.000-0300",Germany,1
"2025-05-02T04:45:00.000-0300","Hong Kong",1
"2025-05-02T04:45:00.000-0300",Kenya,1
"2025-05-02T04:45:00.000-0300",Netherlands,1
"2025-05-02T04:45:00.000-0300",Singapore,6
"2025-05-02T04:45:00.000-0300","United Kingdom",2
"2025-05-02T04:45:00.000-0300","United States",27
"2025-05-02T05:00:00.000-0300",Argentina,5
"2025-05-02T05:00:00.000-0300",Brazil,1
"2025-05-02T05:00:00.000-0300",Bulgaria,1
"2025-05-02T05:00:00.000-0300",France,6
"2025-05-02T05:00:00.000-0300",Germany,3
"2025-05-02T05:00:00.000-0300",Singapore,2
"2025-05-02T05:00:00.000-0300","United Kingdom",3
"2025-05-02T05:00:00.000-0300","United States",34
"2025-05-02T05:15:00.000-0300",Argentina,6
"2025-05-02T05:15:00.000-0300",Brazil,1
"2025-05-02T05:15:00.000-0300",Canada,2
"2025-05-02T05:15:00.000-0300",France,3
"2025-05-02T05:15:00.000-0300",Germany,1
"2025-05-02T05:15:00.000-0300",Singapore,5
"2025-05-02T05:15:00.000-0300","United States",54
"2025-05-02T05:30:00.000-0300",Argentina,8
"2025-05-02T05:30:00.000-0300",Brazil,1
"2025-05-02T05:30:00.000-0300",Bulgaria,1
"2025-05-02T05:30:00.000-0300",Germany,1
"2025-05-02T05:30:00.000-0300",Romania,2
"2025-05-02T05:30:00.000-0300","Russian Federation",2
"2025-05-02T05:30:00.000-0300",Seychelles,1
"2025-05-02T05:30:00.000-0300",Singapore,8
"2025-05-02T05:30:00.000-0300",Thailand,1
"2025-05-02T05:30:00.000-0300","United States",31
"2025-05-02T05:45:00.000-0300",Argentina,10
"2025-05-02T05:45:00.000-0300",Brazil,2
"2025-05-02T05:45:00.000-0300",Canada,15
"2025-05-02T05:45:00.000-0300",Germany,3
"2025-05-02T05:45:00.000-0300","Russian Federation",1
"2025-05-02T05:45:00.000-0300",Singapore,7
"2025-05-02T05:45:00.000-0300","United States",36
"2025-05-02T06:00:00.000-0300",Argentina,10
"2025-05-02T06:00:00.000-0300",Brazil,2
"2025-05-02T06:00:00.000-0300",Bulgaria,1
"2025-05-02T06:00:00.000-0300",China,49
"2025-05-02T06:00:00.000-0300",Ireland,1
"2025-05-02T06:00:00.000-0300",Philippines,1
"2025-05-02T06:00:00.000-0300",Singapore,4
"2025-05-02T06:00:00.000-0300",Spain,1
"2025-05-02T06:00:00.000-0300","United States",42
"2025-05-02T06:00:00.000-0300","Viet Nam",1
"2025-05-02T06:15:00.000-0300",Argentina,12
"2025-05-02T06:15:00.000-0300",Brazil,1
"2025-05-02T06:15:00.000-0300",Germany,1
"2025-05-02T06:15:00.000-0300","Hong Kong",1
"2025-05-02T06:15:00.000-0300",Singapore,7
"2025-05-02T06:15:00.000-0300","United States",31
"2025-05-02T06:30:00.000-0300",Argentina,11
"2025-05-02T06:30:00.000-0300",Brazil,1
"2025-05-02T06:30:00.000-0300",Bulgaria,1
"2025-05-02T06:30:00.000-0300",Canada,1
"2025-05-02T06:30:00.000-0300",Germany,1
"2025-05-02T06:30:00.000-0300",Peru,2
"2025-05-02T06:30:00.000-0300",Singapore,7
"2025-05-02T06:30:00.000-0300","South Africa",1
"2025-05-02T06:30:00.000-0300",Turkey,1
"2025-05-02T06:30:00.000-0300","United States",36
"2025-05-02T06:45:00.000-0300",Argentina,20
"2025-05-02T06:45:00.000-0300",Austria,1
"2025-05-02T06:45:00.000-0300",Brazil,1
"2025-05-02T06:45:00.000-0300",Ireland,1
"2025-05-02T06:45:00.000-0300",Singapore,9
"2025-05-02T06:45:00.000-0300","United States",32
"2025-05-02T07:00:00.000-0300",Argentina,17
"2025-05-02T07:00:00.000-0300",Brazil,1
"2025-05-02T07:00:00.000-0300",Bulgaria,1
"2025-05-02T07:00:00.000-0300",Canada,14
"2025-05-02T07:00:00.000-0300",France,1
"2025-05-02T07:00:00.000-0300",Germany,2
"2025-05-02T07:00:00.000-0300",India,1
"2025-05-02T07:00:00.000-0300",Ireland,1
"2025-05-02T07:00:00.000-0300",Singapore,6
"2025-05-02T07:00:00.000-0300","United Kingdom",2
"2025-05-02T07:00:00.000-0300","United States",29
"2025-05-02T07:15:00.000-0300",Argentina,24
"2025-05-02T07:15:00.000-0300",Brazil,2
"2025-05-02T07:15:00.000-0300",Canada,11
"2025-05-02T07:15:00.000-0300","European Union",1
"2025-05-02T07:15:00.000-0300","Hong Kong",1
"2025-05-02T07:15:00.000-0300",Netherlands,1
"2025-05-02T07:15:00.000-0300",Singapore,8
"2025-05-02T07:15:00.000-0300","United Kingdom",2
"2025-05-02T07:15:00.000-0300","United States",36
"2025-05-02T07:30:00.000-0300",Argentina,21
"2025-05-02T07:30:00.000-0300",Austria,1
"2025-05-02T07:30:00.000-0300",Brazil,2
"2025-05-02T07:30:00.000-0300",Bulgaria,1
"2025-05-02T07:30:00.000-0300",Canada,2
"2025-05-02T07:30:00.000-0300",China,1
"2025-05-02T07:30:00.000-0300","Russian Federation",1
"2025-05-02T07:30:00.000-0300",Singapore,8
"2025-05-02T07:30:00.000-0300","United States",36
"2025-05-02T07:45:00.000-0300",Argentina,23
"2025-05-02T07:45:00.000-0300",Brazil,2
"2025-05-02T07:45:00.000-0300",Canada,1
"2025-05-02T07:45:00.000-0300",China,1
"2025-05-02T07:45:00.000-0300","Hong Kong",1
"2025-05-02T07:45:00.000-0300",Philippines,1
"2025-05-02T07:45:00.000-0300","Russian Federation",1
"2025-05-02T07:45:00.000-0300",Singapore,8
"2025-05-02T07:45:00.000-0300","United Kingdom",1
"2025-05-02T07:45:00.000-0300","United States",32
"2025-05-02T08:00:00.000-0300",Argentina,28
"2025-05-02T08:00:00.000-0300",Brazil,1
"2025-05-02T08:00:00.000-0300",Bulgaria,1
"2025-05-02T08:00:00.000-0300",Canada,11
"2025-05-02T08:00:00.000-0300",China,1
"2025-05-02T08:00:00.000-0300",Ireland,2
"2025-05-02T08:00:00.000-0300",Paraguay,1
"2025-05-02T08:00:00.000-0300","Russian Federation",1
"2025-05-02T08:00:00.000-0300",Singapore,9
"2025-05-02T08:00:00.000-0300","United States",38
"2025-05-02T08:15:00.000-0300",Argentina,24
"2025-05-02T08:15:00.000-0300",Brazil,2
"2025-05-02T08:15:00.000-0300",Canada,3
"2025-05-02T08:15:00.000-0300",Germany,1
"2025-05-02T08:15:00.000-0300","Hong Kong",1
"2025-05-02T08:15:00.000-0300","Korea Republic Of",1
"2025-05-02T08:15:00.000-0300",Singapore,5
"2025-05-02T08:15:00.000-0300",Turkey,1
"2025-05-02T08:15:00.000-0300","United Kingdom",1
"2025-05-02T08:15:00.000-0300","United States",37
"2025-05-02T08:30:00.000-0300",Argentina,33
"2025-05-02T08:30:00.000-0300",Brazil,3
"2025-05-02T08:30:00.000-0300",Bulgaria,1
"2025-05-02T08:30:00.000-0300",Canada,4
"2025-05-02T08:30:00.000-0300",Denmark,1
"2025-05-02T08:30:00.000-0300",India,1
"2025-05-02T08:30:00.000-0300","Korea Republic Of",22
"2025-05-02T08:30:00.000-0300",Singapore,4
"2025-05-02T08:30:00.000-0300","United States",39
"2025-05-02T08:45:00.000-0300",Argentina,41
"2025-05-02T08:45:00.000-0300",Brazil,2
"2025-05-02T08:45:00.000-0300",Canada,2
"2025-05-02T08:45:00.000-0300",China,1
"2025-05-02T08:45:00.000-0300","Hong Kong",1
"2025-05-02T08:45:00.000-0300",Poland,1
"2025-05-02T08:45:00.000-0300",Romania,1
"2025-05-02T08:45:00.000-0300",Singapore,7
"2025-05-02T08:45:00.000-0300",Spain,3
"2025-05-02T08:45:00.000-0300","United Kingdom",2
"2025-05-02T08:45:00.000-0300","United States",44
"2025-05-02T09:00:00.000-0300",Argentina,33
"2025-05-02T09:00:00.000-0300","Bolivia Plurinational State Of",1
"2025-05-02T09:00:00.000-0300",Brazil,2
"2025-05-02T09:00:00.000-0300",Bulgaria,1
"2025-05-02T09:00:00.000-0300",Canada,9
"2025-05-02T09:00:00.000-0300",China,1
"2025-05-02T09:00:00.000-0300",Ireland,3
"2025-05-02T09:00:00.000-0300",Romania,1
"2025-05-02T09:00:00.000-0300",Singapore,2
"2025-05-02T09:00:00.000-0300",Spain,1
"2025-05-02T09:00:00.000-0300","United Kingdom",2
"2025-05-02T09:00:00.000-0300","United States",46
"2025-05-02T09:00:00.000-0300",Uruguay,1
"2025-05-02T09:15:00.000-0300",Argentina,39
"2025-05-02T09:15:00.000-0300",Brazil,1
"2025-05-02T09:15:00.000-0300",Canada,18
"2025-05-02T09:15:00.000-0300",China,1
"2025-05-02T09:15:00.000-0300",Germany,2
"2025-05-02T09:15:00.000-0300","Hong Kong",2
"2025-05-02T09:15:00.000-0300",Romania,1
"2025-05-02T09:15:00.000-0300",Singapore,6
"2025-05-02T09:15:00.000-0300","United States",31
"2025-05-02T09:15:00.000-0300",Uruguay,1
"2025-05-02T09:30:00.000-0300",Argentina,35
"2025-05-02T09:30:00.000-0300",Austria,1
"2025-05-02T09:30:00.000-0300",Brazil,1
"2025-05-02T09:30:00.000-0300",Bulgaria,1
"2025-05-02T09:30:00.000-0300",China,2
"2025-05-02T09:30:00.000-0300",Germany,3
"2025-05-02T09:30:00.000-0300","Russian Federation",1
"2025-05-02T09:30:00.000-0300",Singapore,10
"2025-05-02T09:30:00.000-0300",Spain,1
"2025-05-02T09:30:00.000-0300",Turkey,1
"2025-05-02T09:30:00.000-0300","United States",27
"2025-05-02T09:30:00.000-0300",Uruguay,1
"2025-05-02T09:45:00.000-0300",Argentina,32
"2025-05-02T09:45:00.000-0300",Brazil,2
"2025-05-02T09:45:00.000-0300",Canada,1
"2025-05-02T09:45:00.000-0300",Chile,2
"2025-05-02T09:45:00.000-0300",China,1
"2025-05-02T09:45:00.000-0300",Germany,2
"2025-05-02T09:45:00.000-0300",Monaco,1
"2025-05-02T09:45:00.000-0300",Singapore,6
"2025-05-02T09:45:00.000-0300",Spain,1
"2025-05-02T09:45:00.000-0300","United States",48
"2025-05-02T09:45:00.000-0300",Uruguay,1
"2025-05-02T10:00:00.000-0300",Argentina,43
"2025-05-02T10:00:00.000-0300",Brazil,1
"2025-05-02T10:00:00.000-0300",Bulgaria,1
"2025-05-02T10:00:00.000-0300",Canada,2
"2025-05-02T10:00:00.000-0300",Germany,7
"2025-05-02T10:00:00.000-0300","Russian Federation",1
"2025-05-02T10:00:00.000-0300",Singapore,10
"2025-05-02T10:00:00.000-0300",Turkey,1
"2025-05-02T10:00:00.000-0300","United States",41
"2025-05-02T10:15:00.000-0300",Argentina,43
"2025-05-02T10:15:00.000-0300",Brazil,2
"2025-05-02T10:15:00.000-0300",Canada,1
"2025-05-02T10:15:00.000-0300",China,1
"2025-05-02T10:15:00.000-0300",Germany,2
"2025-05-02T10:15:00.000-0300","Korea Republic Of",1
"2025-05-02T10:15:00.000-0300",Singapore,5
"2025-05-02T10:15:00.000-0300","United States",37
"2025-05-02T10:30:00.000-0300",Argentina,32
"2025-05-02T10:30:00.000-0300",Brazil,4
"2025-05-02T10:30:00.000-0300",Bulgaria,1
"2025-05-02T10:30:00.000-0300",Canada,10
"2025-05-02T10:30:00.000-0300",Chile,2
"2025-05-02T10:30:00.000-0300",China,1
"2025-05-02T10:30:00.000-0300",Germany,4
"2025-05-02T10:30:00.000-0300",Mexico,1
"2025-05-02T10:30:00.000-0300",Singapore,12
"2025-05-02T10:30:00.000-0300",Spain,1
"2025-05-02T10:30:00.000-0300","United States",37
"2025-05-02T10:45:00.000-0300",Argentina,40
"2025-05-02T10:45:00.000-0300",Brazil,3
"2025-05-02T10:45:00.000-0300",Denmark,1
"2025-05-02T10:45:00.000-0300",Germany,6
"2025-05-02T10:45:00.000-0300",Mexico,1
"2025-05-02T10:45:00.000-0300",Portugal,1
"2025-05-02T10:45:00.000-0300",Singapore,5
"2025-05-02T10:45:00.000-0300","United States",42
"2025-05-02T10:45:00.000-0300",Uruguay,2
"2025-05-02T11:00:00.000-0300",Argentina,26
"2025-05-02T11:00:00.000-0300",Brazil,1
"2025-05-02T11:00:00.000-0300",Bulgaria,1
"2025-05-02T11:00:00.000-0300",Germany,6
"2025-05-02T11:00:00.000-0300",Paraguay,1
"2025-05-02T11:00:00.000-0300",Singapore,1
"2025-05-02T11:00:00.000-0300","United Kingdom",1
"2025-05-02T11:00:00.000-0300","United States",63
"2025-05-02T11:15:00.000-0300",Argentina,44
"2025-05-02T11:15:00.000-0300",Brazil,1
"2025-05-02T11:15:00.000-0300",China,1
"2025-05-02T11:15:00.000-0300",Germany,1
"2025-05-02T11:15:00.000-0300",Singapore,3
"2025-05-02T11:15:00.000-0300",Spain,1
"2025-05-02T11:15:00.000-0300",Turkey,1
"2025-05-02T11:15:00.000-0300","United States",39
"2025-05-02T11:30:00.000-0300",Argentina,36
"2025-05-02T11:30:00.000-0300",Brazil,2
"2025-05-02T11:30:00.000-0300",Bulgaria,1
"2025-05-02T11:30:00.000-0300",Canada,1
"2025-05-02T11:30:00.000-0300",Chile,1
"2025-05-02T11:30:00.000-0300",Germany,1
"2025-05-02T11:30:00.000-0300",Japan,1
"2025-05-02T11:30:00.000-0300",Singapore,3
"2025-05-02T11:30:00.000-0300","United States",52
"2025-05-02T11:30:00.000-0300",Uruguay,1
"2025-05-02T11:45:00.000-0300",Argentina,47
"2025-05-02T11:45:00.000-0300",Brazil,1
"2025-05-02T11:45:00.000-0300",Canada,1
"2025-05-02T11:45:00.000-0300",Colombia,3
"2025-05-02T11:45:00.000-0300",Germany,1
"2025-05-02T11:45:00.000-0300",Mexico,1
"2025-05-02T11:45:00.000-0300",Peru,1
"2025-05-02T11:45:00.000-0300",Turkey,1
"2025-05-02T11:45:00.000-0300","United Kingdom",1
"2025-05-02T11:45:00.000-0300","United States",54
"2025-05-02T12:00:00.000-0300",Argentina,35
"2025-05-02T12:00:00.000-0300",Brazil,2
"2025-05-02T12:00:00.000-0300",China,59
"2025-05-02T12:00:00.000-0300",Germany,2
"2025-05-02T12:00:00.000-0300",Singapore,9
"2025-05-02T12:00:00.000-0300",Spain,1
"2025-05-02T12:00:00.000-0300","United States",47
"2025-05-02T12:15:00.000-0300",Argentina,41
"2025-05-02T12:15:00.000-0300","Bolivia Plurinational State Of",2
"2025-05-02T12:15:00.000-0300",Brazil,2
"2025-05-02T12:15:00.000-0300",Bulgaria,1
"2025-05-02T12:15:00.000-0300",Canada,1
"2025-05-02T12:15:00.000-0300",China,3
"2025-05-02T12:15:00.000-0300","European Union",1
"2025-05-02T12:15:00.000-0300",Germany,3
"2025-05-02T12:15:00.000-0300",Peru,1
"2025-05-02T12:15:00.000-0300",Singapore,1
"2025-05-02T12:15:00.000-0300","United States",46
"2025-05-02T12:30:00.000-0300",Argentina,41
"2025-05-02T12:30:00.000-0300",Brazil,1
"2025-05-02T12:30:00.000-0300",Canada,17
"2025-05-02T12:30:00.000-0300",Germany,1
"2025-05-02T12:30:00.000-0300","Hong Kong",1
"2025-05-02T12:30:00.000-0300",Singapore,2
"2025-05-02T12:30:00.000-0300","United States",42
"2025-05-02T12:45:00.000-0300",Argentina,46
"2025-05-02T12:45:00.000-0300","Bolivia Plurinational State Of",1
"2025-05-02T12:45:00.000-0300",Brazil,1
"2025-05-02T12:45:00.000-0300",Bulgaria,2
"2025-05-02T12:45:00.000-0300",Chile,3
"2025-05-02T12:45:00.000-0300","Hong Kong",1
"2025-05-02T12:45:00.000-0300",Singapore,2
"2025-05-02T12:45:00.000-0300",Turkey,1
"2025-05-02T12:45:00.000-0300","United States",49
"2025-05-02T13:00:00.000-0300",Argentina,24
"2025-05-02T13:00:00.000-0300","Bolivia Plurinational State Of",2
"2025-05-02T13:00:00.000-0300",Brazil,1
"2025-05-02T13:00:00.000-0300",Bulgaria,1
"2025-05-02T13:00:00.000-0300",Canada,1
"2025-05-02T13:00:00.000-0300","Costa Rica",1
"2025-05-02T13:00:00.000-0300","Hong Kong",1
"2025-05-02T13:00:00.000-0300",Peru,1
"2025-05-02T13:00:00.000-0300",Singapore,3
"2025-05-02T13:00:00.000-0300",Spain,1
"2025-05-02T13:00:00.000-0300","United Kingdom",4
"2025-05-02T13:00:00.000-0300","United States",44
"2025-05-02T13:15:00.000-0300",Argentina,25
"2025-05-02T13:15:00.000-0300",Barbados,1
"2025-05-02T13:15:00.000-0300","Bolivia Plurinational State Of",1
"2025-05-02T13:15:00.000-0300",Brazil,1
"2025-05-02T13:15:00.000-0300",Bulgaria,2
"2025-05-02T13:15:00.000-0300",Germany,1
"2025-05-02T13:15:00.000-0300","Hong Kong",1
"2025-05-02T13:15:00.000-0300",Italy,1
"2025-05-02T13:15:00.000-0300",Peru,1
"2025-05-02T13:15:00.000-0300",Singapore,4
"2025-05-02T13:15:00.000-0300",Spain,1
"2025-05-02T13:15:00.000-0300","United Kingdom",2
"2025-05-02T13:15:00.000-0300","United States",53
"2025-05-02T13:30:00.000-0300",Argentina,29
"2025-05-02T13:30:00.000-0300",Brazil,1
"2025-05-02T13:30:00.000-0300",Bulgaria,1
"2025-05-02T13:30:00.000-0300",Colombia,1
"2025-05-02T13:30:00.000-0300",France,1
"2025-05-02T13:30:00.000-0300","Russian Federation",1
"2025-05-02T13:30:00.000-0300",Singapore,2
"2025-05-02T13:30:00.000-0300",Turkey,1
"2025-05-02T13:30:00.000-0300","United States",64
"2025-05-02T13:45:00.000-0300",Argentina,27
"2025-05-02T13:45:00.000-0300",Brazil,1
"2025-05-02T13:45:00.000-0300",Bulgaria,1
"2025-05-02T13:45:00.000-0300",Canada,15
"2025-05-02T13:45:00.000-0300",France,1
"2025-05-02T13:45:00.000-0300","Russian Federation",3
"2025-05-02T13:45:00.000-0300",Singapore,5
"2025-05-02T13:45:00.000-0300","United Kingdom",2
"2025-05-02T13:45:00.000-0300","United States",56
"2025-05-02T13:45:00.000-0300",Unknown,1
"2025-05-02T14:00:00.000-0300",Argentina,28
"2025-05-02T14:00:00.000-0300",Brazil,1
"2025-05-02T14:00:00.000-0300",Bulgaria,1
"2025-05-02T14:00:00.000-0300",Canada,1
